,design,nr,ntheta,nx,panels,A,B
115,"design_3.388888888888889,17.5",2,35,10,245,76166.5352485042,6586.572923681715
116,"design_3.388888888888889,17.5",2,35,15,350,74320.25063959675,6251.8344250458285
117,"design_3.388888888888889,17.5",2,35,20,420,73240.31643148033,6064.54012725497
118,"design_3.388888888888889,17.5",2,35,25,525,72534.0951280766,5943.866255200745
119,"design_3.388888888888889,17.5",2,35,30,595,72040.07907386552,5860.927140293521
120,"design_3.388888888888889,17.5",2,40,10,280,76337.56797367656,6627.847673144774
121,"design_3.388888888888889,17.5",2,40,15,400,74495.09198242277,6293.228211091225
122,"design_3.388888888888889,17.5",2,40,20,480,73417.14720898092,6105.57263859993
123,"design_3.388888888888889,17.5",2,40,25,600,72712.05167273471,5984.791565551026
124,"design_3.388888888888889,17.5",2,40,30,680,72218.89765743208,5901.6778203999265
125,"design_3.388888888888889,17.5",7,20,10,240,74359.63813823448,6555.270511516056
126,"design_3.388888888888889,17.5",7,20,15,300,72798.59793714104,6269.074105321468
127,"design_3.388888888888889,17.5",7,20,20,340,71886.09731720183,6105.505694327391
128,"design_3.388888888888889,17.5",7,20,25,400,71270.22944089571,5996.388514863067
129,"design_3.388888888888889,17.5",7,20,30,440,70819.06322343217,5917.62637403721
130,"design_3.388888888888889,17.5",7,25,10,300,75042.57951916993,6695.009177391065
131,"design_3.388888888888889,17.5",7,25,15,375,73485.94957921807,6408.9753774865485
132,"design_3.388888888888889,17.5",7,25,20,425,72576.25777184636,6244.732251616499
133,"design_3.388888888888889,17.5",7,25,25,500,71960.16591111536,6134.981755922635
134,"design_3.388888888888889,17.5",7,25,30,550,71508.53239811202,6056.189669830059
135,"design_3.388888888888889,17.5",7,30,10,360,75429.24898591188,6781.961525883477
136,"design_3.388888888888889,17.5",7,30,15,450,73877.6954620985,6495.037286697884
137,"design_3.388888888888889,17.5",7,30,20,510,72970.71734346708,6330.615187842963
138,"design_3.388888888888889,17.5",7,30,25,600,72356.05932743198,6220.870414534601
139,"design_3.388888888888889,17.5",7,30,30,660,71904.966594974,6142.090406845557
140,"design_3.388888888888889,17.5",7,35,10,420,75668.86191719634,6839.418210302348
141,"design_3.388888888888889,17.5",7,35,15,525,74123.75735520486,6552.833543138421
142,"design_3.388888888888889,17.5",7,35,20,595,73220.21987356205,6388.577353723655
143,"design_3.388888888888889,17.5",7,35,25,700,72607.12842672534,6278.7516899209695
144,"design_3.388888888888889,17.5",7,35,30,770,72156.62765106434,6199.999756036243
145,"design_3.388888888888889,17.5",7,40,10,480,75831.84318152646,6881.421604114888
146,"design_3.388888888888889,17.5",7,40,15,600,74290.6266519022,6593.959611033147
147,"design_3.388888888888889,17.5",7,40,20,680,73390.50175659724,6429.909297901559
148,"design_3.388888888888889,17.5",7,40,25,800,72778.89102709696,6320.117866045229
149,"design_3.388888888888889,17.5",7,40,30,880,72329.99933390241,6241.574945270895
150,"design_3.388888888888889,17.5",12,20,10,340,74455.29060072584,6608.526052807227
151,"design_3.388888888888889,17.5",12,20,15,400,72977.89614993695,6340.492654888485
152,"design_3.388888888888889,17.5",12,20,20,440,72126.61112077054,6188.494837037326
153,"design_3.388888888888889,17.5",12,20,25,500,71555.55288066808,6087.156853931088
154,"design_3.388888888888889,17.5",12,20,30,540,71136.6745920904,6013.759111268881
155,"design_3.388888888888889,17.5",12,25,10,425,75139.91565496,6750.085746850254
156,"design_3.388888888888889,17.5",12,25,15,500,73665.49674752956,6480.727476340463
157,"design_3.388888888888889,17.5",12,25,20,550,72816.20966762207,6328.113682248425
158,"design_3.388888888888889,17.5",12,25,25,625,72245.93421852366,6226.785157887578
159,"design_3.388888888888889,17.5",12,25,30,675,71827.0547749874,6153.282912876745
160,"design_3.388888888888889,17.5",12,30,10,510,75525.19266809519,6837.110509272775
161,"design_3.388888888888889,17.5",12,30,15,600,74056.35129996472,6566.9243551423
162,"design_3.388888888888889,17.5",12,30,20,660,73211.06009286437,6414.713537440635
163,"design_3.388888888888889,17.5",12,30,25,750,72639.85600496946,6312.212645176823
164,"design_3.388888888888889,17.5",12,30,30,810,72222.1546694368,6239.156229173411
165,"design_3.388888888888889,17.5",12,35,10,595,75766.78586355082,6895.498406195037
166,"design_3.388888888888889,17.5",12,35,15,700,74303.26738340483,6625.318076866639
167,"design_3.388888888888889,17.5",12,35,20,770,73459.59980131459,6472.368353210283
168,"design_3.388888888888889,17.5",12,35,25,875,72891.68304663376,6370.789643072458
169,"design_3.388888888888889,17.5",12,35,30,945,72473.8674038608,6297.182074467748
170,"design_3.388888888888889,17.5",12,40,10,680,75928.93955048213,6937.208258062502
171,"design_3.388888888888889,17.5",12,40,15,800,74470.50590328495,6666.88885976702
172,"design_3.388888888888889,17.5",12,40,20,880,73630.65843758115,6514.33566708442
173,"design_3.388888888888889,17.5",12,40,25,1000,73062.3183836308,6412.0532810291215
174,"design_3.388888888888889,17.5",12,40,30,1080,72645.29629726511,6338.3359787858435
175,"design_3.388888888888889,17.5",17,20,10,440,74518.96526721904,6631.8386547104565
176,"design_3.388888888888889,17.5",17,20,15,500,73077.25248276554,6370.770278232405
